Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood,Zip.Code
2.018E+13,3/22/18,420,3/22/18,435,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/22/18,438,3/22/18,438,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/21/18,2000,3/22/18,1111,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/23/18,105,3/23/18,901,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,3/23/18,105,3/23/18,1251,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+12,1/9/18,1250,1/9/18,1250,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J2,BALLARD NORTH,98107
2.018E+12,1/9/18,1424,1/9/18,1424,WEAPON,WEAPON-POSSESSION,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/25/18,123,3/25/18,123,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,3/25/18,0,3/25/18,733,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,N,N1,BALLARD NORTH,98107
2.018E+13,3/23/18,2200,3/25/18,1323,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,N,N1,BALLARD NORTH,98107
2.018E+13,3/25/18,1930,3/26/18,1656,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/26/18,0,3/26/18,1108,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/24/18,800,3/26/18,1340,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/26/18,2122,3/26/18,2122,NARCOTIC,NARC-POSSESS-MARIJU,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/27/18,809,3/27/18,809,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/27/18,930,6/10/18,1638,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/27/18,1327,3/27/18,1425,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/24/18,1305,3/27/18,1357,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,3/27/18,500,3/27/18,1200,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,3/27/18,2308,3/27/18,2308,RAPE,SEXOFF-SODOMY,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/27/18,1800,3/28/18,912,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,3/28/18,1530,3/28/18,1553,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/28/18,2015,3/29/18,738,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N1,BALLARD NORTH,98107
2.018E+13,3/20/18,100,3/29/18,1549,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BALLARD NORTH,98107
2.018E+12,1/10/18,431,1/10/18,451,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,3/31/18,524,3/31/18,524,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/1/18,750,4/1/18,750,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/1/18,1521,4/1/18,1521,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,4/2/18,1004,4/2/18,1004,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,4/1/18,1900,4/2/18,1610,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/1/18,2300,4/3/18,1737,CAR PROWL,THEFT-CARPROWL,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,4/3/18,415,4/3/18,2050,MOTOR VEHICLE THEFT,VEH-THEFT-TRAILER,NORTH,J,J1,BALLARD NORTH,98107
2.018E+12,1/4/18,1830,1/10/18,1549,THEFT-ALL OTHER,THEFT-MAIL,NORTH,N,N1,BALLARD NORTH,98107
2.018E+12,1/1/18,0,1/4/18,1600,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,4/3/18,2000,4/4/18,1230,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,3/22/18,1,4/4/18,1855,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,4/6/18,500,4/6/18,1742,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/7/18,10,4/7/18,10,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/1/18,0,4/7/18,8,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N1,BALLARD NORTH,98107
2.018E+13,4/7/18,2150,4/8/18,44,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/8/18,710,4/8/18,710,TRESPASS,TRESPASS,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/8/18,45,4/10/18,1157,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,4/11/18,230,4/11/18,635,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+12,1/10/18,2230,1/11/18,833,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,N,N1,BALLARD NORTH,98107
2.018E+13,4/10/18,2100,4/11/18,757,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/10/18,1600,4/11/18,805,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+12,1/11/18,5,1/11/18,1319,THEFT-BUILDING,THEFT-BUILDING,NORTH,J,J2,BALLARD NORTH,98107
2.018E+12,1/11/18,200,1/11/18,1145,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/11/18,2222,4/11/18,2222,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J1,BALLARD NORTH,98107
2.018E+12,1/4/18,1145,1/11/18,1217,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,4/13/18,510,4/13/18,510,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,BALLARD NORTH,98107
2.018E+13,4/24/12,1,4/7/18,1544,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,J,J1,BALLARD NORTH,98107
2.018E+13,4/13/18,2230,4/14/18,900,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BALLARD NORTH,98107
