"","Name","Program.Identifier","Inspection.Date","Description","Address","City","Zip.Code","Phone","Longitude","Latitude","Inspection.Business.Name","Inspection.Type","Inspection.Score","Inspection.Result","Inspection.Closed.Business","Violation.Type","Violation.Description","Violation.Points","Business_ID","Inspection_Serial_Num","Violation_Record_ID","Grade"
"1","CHERRY STREET COFFEE HOUSE","CHERRY STREET COFFEE HOUSE","1/2/18","Seating 13-50 - Risk Category III","528 1ST AVE S","SEATTLE",98104,"(206) 295-6626",-122.333832,47.597608,"CHERRY STREET COFFEE HOUSE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0083202","DATROCOB9","",2
"2","IL TERRAZZO","IL TERRAZZO","1/2/18","Seating 51-150 - Risk Category III","411 1ST AVE S ","SEATTLE",98104,"(206) 467-7797",-122.3345257,47.5987353,"IL TERRAZZO","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0008376","DAZGMYOZ7","",2
"3","IL TERRAZZO INTERMEZZO","IL TERRAZZO INTERMEZZO","1/2/18","Seating 51-150 - Risk Category III","411 1ST AVE S","SEATTLE",98104,"",-122.3345239,47.59873711,"IL TERRAZZO INTERMEZZO","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0084080","DAOBV6IYR","",1
"4","KING'S BARBEQUE HOUSE","KING'S BARBEQUE HOUSE","1/2/18","Seating 0-12 - Risk Category III","518 6TH AVE S ","Seattle",98104,"(206) 622-2828",-122.3260157,47.59779884,"KING'S BARBEQUE HOUSE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0018230","DALWRG0NA","",1
"5","SEOUL TOFU HOUSE","SEOUL TOFU HOUSE","1/2/18","Seating 13-50 - Risk Category III","516 6TH AVE S ","SEATTLE",98104,"(206) 236-4074",-122.3261213,47.59819952,"SEOUL TOFU HOUSE","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0066754","DAXSD2N4A","",2
"6","SHANE & SHELLY'S SLUGGERS","SHANE & SHELLY'S SLUGGERS","1/2/18","Seating 51-150 - Risk Category III","538 1ST AVE S ","Seattle",98104,"(206) 654-8070",-122.3336815,47.59713805,"SHANE & SHELLY'S SLUGGERS","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0003761","DALE9ZPSF","",1
"7","CEDARS BROOKLYN DELI","CEDARS ON BROOKLYN","1/2/18","Seating 51-150 - Risk Category III","4759 BROOKLYN AVE NE ","Seattle",98105,"(425) 301-3141",-122.3145026,47.66476019,"CEDARS BROOKLYN DELI","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0014725","DANYKGCGH","",1
"8","CHATIME","CHATIME","1/2/18","Seating 13-50 - Risk Category II","4701 BROOKLYN AVE NE","SEATTLE",98105,"(425) 495-9130",-122.3145243,47.66326087,"CHATIME","Consultation/Education - Field",0,"Complete",FALSE,"","",0,"PR0086794","DAZQQ6LQ6","",2
"9","LITTLE DELI MART","LITTLE DELI MART","1/2/18","Seating 0-12 - Risk Category III","5622 1ST AVE S","Seattle",98108,"(206) 762-5775",-122.3338717,47.55220049,"LITTLE DELI MART","Routine Inspection/Field Review",50,"Unsatisfactory",FALSE,"RED","0400 - Hands washed as required",25,"PR0013886","DA0CIHZK7","IV16GMWIF",2
"10","LITTLE DELI MART","LITTLE DELI MART","1/2/18","Seating 0-12 - Risk Category III","5622 1ST AVE S","Seattle",98108,"(206) 762-5775",-122.3338717,47.55220049,"LITTLE DELI MART","Routine Inspection/Field Review",50,"Unsatisfactory",FALSE,"RED","0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.",25,"PR0013886","DA0CIHZK7","IV3ZK5NQL",2
